UHF42,Asthma_0_4,PM,NO2
Williamsburg - Bushwick,73.5,9.36,22.72
Washington Heights,48.5,9.48,22.79
Central Harlem - Morningside Heights,125,9.7,25.36
East Harlem,137.1,9.73,24.75
Upper West Side,29.5,10.35,26.5
Upper East Side,23,11.1,28.59
Chelsea - Clinton,21,12.41,33.35
Gramercy Park - Murray Hill,32.4,13.2,36.08
Greenwich Village - SoHo,,10.81,29.19
Union Square - Lower East Side,39.1,10.15,27.39
Lower Manhattan,,11.06,30.26
Long Island City - Astoria,22.3,9.6,22.3
West Queens,30.1,9.13,21.89
Flushing - Clearview,29.8,8.39,18.71
Bayside - Little Neck,27.7,8.08,16.41
Ridgewood - Forest Hills,29.5,8.51,20.3
Fresh Meadows,39.2,8.21,19.03
Southwest Queens,58.3,8.14,19.65
Jamaica,88.2,8.27,18.96
Southeast Queens,67.9,7.85,16.8
Rockaways,49,7.61,12.67
Port Richmond,56.6,8.27,18.38
Stapleton - St. George,46.1,7.9,15.4
Willowbrook,25.1,8.22,14.69
South Beach - Tottenville,16.7,7.82,11.51
